timestamp,consent,age,gender,province,education_level,stream,gpa,current_status,weekly_skill_hours,skills_learning,learning_reason,learning_source,career_clarity,market_awareness,education_support,career_confidence,challenges,challenge_frequency,career_interest,future_vision,system_adequate,biggest_obstacle,advice,age_mid,gpa_mid,skill_hours_mid,challenge_freq_score,skill_AI / Machine Learning,skill_Business / Entrepreneurship,skill_Data Analyst / Data Science,skill_Digital Marketing / SEO,skill_Graphic Design,skill_None yet,skill_Other,skill_Programming / Coding,skill_Public Speaking / Communication,skill_UI/UX Design,skill_Video Editing / Content Creation,reason_Business / Startups,reason_Freelancing,reason_None yet,reason_Other,reason_Personal Interest,reason_Study abroad preparation,reason_To get a job,reason_University requirements,source_College or school,source_Institute or training center,source_Mentor or teacher,source_None yet,source_Other,"source_Paid online courses (Udemy, Coursera, etc.)",source_Self-study from books/articles,source_YouTube / free online videos,chal_Family pressure,chal_Financial problems,chal_Lack of guidance or mentorship,chal_Lack of motivation,chal_Lack of networking,chal_Lack of opportunities in Nepal,chal_Mental stress or anxiety,chal_Other,chal_Poor internet access,chal_Poor quality of education,chal_Time management issues,skill_breadth,readiness_score,readiness_category
2026/06/15 8:49:52 PM GMT+5:45,Yes,19-21,Male,Bagmati,Awaiting +2 Results,Science,3.21 - 3.6,Waiting for results;Preparing for Bachelor's;Learning professional skills,6-10 hrs,Programming / Coding;Data Analyst / Data Science;AI / Machine Learning;Graphic Design;Public Speaking / Communication,To get a job;Freelancing;Personal Interest,"YouTube / free online videos;Paid online courses (Udemy, Coursera, etc.);Institute or training center;Self-study from books/articles;Mentor or teacher",5.0,5.0,3.0,5.0,No Obstacles ,Never,Research / Academia,As a Senior ML Engineer ,Maybe,Lack of practical education;Financial barriers;Poor awareness of career options;Brain drain (talented people leaving Nepal),"Start learning skills early, don't wait;Network with people in your field of interest;Take care of your mental health",20.0,3.4,8.0,0.0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,5,79.93055555555554,High
2026/06/15 9:02:13 PM GMT+5:45,Yes,19-21,Female,Bagmati,SEE Passed,Just SEE Passed,3.21 - 3.6,Learning professional skills,3-5 hrs,UI/UX Design;Public Speaking / Communication,To get a job;Personal Interest,YouTube / free online videos;Self-study from books/articles,4.0,4.0,4.0,4.0,Lack of networking,Sometimes,IT / Technology,Doing Bachelors ,Maybe,Lack of practical education;Weak education system / outdated curriculum;Mental health and stress,"Start learning skills early, don't wait",20.0,3.4,4.0,1.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2,59.5138888888889,Medium
2026/06/16 9:51:40 AM GMT+5:45,Yes,19-21,Male,Bagmati,+2 Passed,Management,2.81 - 3.2,Preparing for Bachelor's,0 - 2 hrs,None yet,,,2.0,5.0,4.0,3.0,Time management issues;Lack of networking,,IT / Technology,Doing Bachelors ,No,Lack of practical education;Financial barriers,"Start learning skills early, don't wait;Network with people in your field of interest",20.0,3.0,1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,44.166666666666664,Medium
2026/06/16 10:04:42 AM GMT+5:45,Yes,16-18,Female,Bagmati,SEE Passed,Just SEE Passed,Above 3.6,Learning professional skills;Preparring for 11th ,3-5 hrs,UI/UX Design;Public Speaking / Communication,Personal Interest,YouTube / free online videos,4.0,4.0,4.0,4.0,Lack of networking,Sometimes,Government Service,doing baclelors ,Maybe,Brain drain (talented people leaving Nepal),"Start learning skills early, don't wait",17.0,3.8,4.0,1.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,59.5138888888889,Medium
2026/06/16 10:31:20 AM GMT+5:45,Yes,19-21,Male,Bagmati,+2 Passed,Science,3.21 - 3.6,Waiting for results,0 - 2 hrs,Data Analyst / Data Science;AI / Machine Learning,Personal Interest,Institute or training center,4.0,4.0,4.0,4.0,Financial problems;Lack of guidance or mentorship;Time management issues,Sometimes,IT / Technology,,Maybe,Lack of practical education;Lack of mentorship and guidance;Limited internship and job opportunities,"Start learning skills early, don't wait;Build a portfolio or personal projects;Focus on English communication;Explore career options before choosing a stream;Find a mentor or role model;Network with people in your field of interest;Take care of your mental health;Be consistent and patient",20.0,3.4,1.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,57.63888888888889,Medium
2026/06/16 12:13:08 PM GMT+5:45,Yes,19-21,Female,Bagmati,Bachelor ,Science,Above 3.6,Studying Bachelor's,3-5 hrs,Data Analyst / Data Science;AI / Machine Learning,To get a job,YouTube / free online videos;Institute or training center,3.0,3.0,3.0,5.0,Lack of motivation;Lack of opportunities in Nepal;Mental stress or anxiety,Sometimes,IT / Technology,,No,Lack of practical education;Weak education system / outdated curriculum;Limited internship and job opportunities;Poor awareness of career options,"Start learning skills early, don't wait;Focus on English communication;Don't rely only on grades — build real skills;Network with people in your field of interest;Take care of your mental health",20.0,3.8,4.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,2,53.263888888888886,Medium
2026/06/16 1:04:47 PM GMT+5:45,Yes,19-21,Male,Karnali,pursuing bachelor,Science,3.21 - 3.6,Studying Bachelor's,6-10 hrs,Programming / Coding;Data Analyst / Data Science;AI / Machine Learning,To get a job;Freelancing;Business / Startups;Personal Interest,YouTube / free online videos;Institute or training center;Self-study from books/articles,5.0,4.0,4.0,4.0,Financial problems;Lack of guidance or mentorship;Lack of opportunities in Nepal;Lack of networking,Frequently,IT / Technology,IT expert in nepalese industry ,No,Lack of practical education;Weak education system / outdated curriculum;Financial barriers;Lack of mentorship and guidance;Limited internship and job opportunities;Poor internet and tech access in rural areas;Political instability affecting opportunities,"Start learning skills early, don't wait;Build a portfolio or personal projects;Focus on English communication;Explore career options before choosing a stream;Find a mentor or role model;Use free online resources (YouTube, Coursera, etc.);Don't rely only on grades — build real skills;Network with people in your field of interest;Be consistent and patient",20.0,3.4,8.0,2.0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,3,64.79166666666667,Medium
2026/06/16 5:16:24 PM GMT+5:45,Yes,16-18,Female,Gandaki,+2 Passed,Science,Above 3.6,Studying Bachelor's,3-5 hrs,Public Speaking / Communication;Business / Entrepreneurship,Business / Startups;Personal Interest,YouTube / free online videos;Self-study from books/articles,4.0,5.0,3.0,4.0,Lack of opportunities in Nepal;Lack of networking,Sometimes,Business / Entrepreneurship,,Maybe,Lack of mentorship and guidance;Poor awareness of career options;Brain drain (talented people leaving Nepal),"Start learning skills early, don't wait;Build a portfolio or personal projects;Be consistent and patient",17.0,3.8,4.0,1.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,2,60.76388888888889,Medium
2026/06/16 5:20:24 PM GMT+5:45,Yes,19-21,Male,Bagmati,Awaiting +2 Results,Management,3.21 - 3.6,Preparing for Bachelor's,3-5 hrs,Data Analyst / Data Science;AI / Machine Learning;Public Speaking / Communication,To get a job;Freelancing,YouTube / free online videos;Institute or training center;Self-study from books/articles,5.0,5.0,5.0,5.0,Lack of guidance or mentorship;Lack of networking,Frequently,IT / Technology,An IT expert.,Maybe,Lack of practical education;Brain drain (talented people leaving Nepal),"Start learning skills early, don't wait;Be consistent and patient",20.0,3.4,4.0,2.0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,3,73.54166666666666,High
2026/06/16 5:30:54 PM GMT+5:45,Yes,16-18,,Gandaki,SEE Passed,Just SEE Passed,Above 3.6,Learning professional skills;Working / Freelancing,3-5 hrs,Video Editing / Content Creation;Public Speaking / Communication;Business / Entrepreneurship,Freelancing;Business / Startups;Personal Interest,YouTube / free online videos;College or school;Self-study from books/articles,4.0,4.0,3.0,4.0,Lack of guidance or mentorship;Lack of networking,Sometimes,IT / Technology,Doing Bachelors ,Maybe,Lack of practical education;Lack of mentorship and guidance;Poor awareness of career options,"Start learning skills early, don't wait;Be consistent and patient",17.0,3.8,4.0,1.0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,3,58.12500000000001,Medium
